date,mileage,gallons,price
1/3/18,165459,13.992,39.02
1/17/18,165699,13.924,37.02
1/24/18,165849,9.75,25.73
1/30/18,166098,13.519,34.73
2/6/18,166332,13.243,35.08
2/12/18,166567,13.172,34.37
2/26/18,166768,13.127,34.51
3/7/18,166976,12.633,32.71
3/16/18,167165,11.612,29.37
3/20/18,167368,11.23,28.85
3/28/18,167564,11.905,33.92
3/31/18,167785,11.8,32.56
4/6/18,168020,12.668,35.83
4/10/18,168192,9.349,28.51
4/15/18,168386,11.36,33.84
4/25/18,168616,14.034,44.75
5/2/18,168843,13.399,42.73
5/5/18,169023,9.504,30.21
5/12/18,169273,13.045,42.38
5/17/18,169527,13.229,43.76
5/22/18,169801,14.047,45.5
6/1/18,170048,13.398,43.66
6/4/18,170316,12.842,41.47
6/7/18,170583,13.884,45.8
6/8/18,170723,6.409,20.44
6/14/18,170974,13.678,44.44
6/23/18,171210,13.071,42.86
6/29/18,171450,12.462,40.61
7/4/18,171704,12.948,42.46
7/8/18,171974,13.372,43.58
7/21/18,172203,13.638,43.76
7/28/18,172351,8.177,27.79
7/28/18,172560,10.618,32.91
7/31/18,172731,8.457,26.63
8/3/18,172848,5.526,17.57
8/3/18,173036,8.282,24.34
8/5/18,173315,13.031,41.95
8/17/18,173532,12.791,44.12
8/17/18,173752,10.422,36.99
8/19/18,173881,7.145,23.07
8/19/18,174124,14.032,46.29
8/29/18,174345,13.331,43.45
9/13/18,174550,13.564,43.8
9/26/18,174773,13.866,43.53
10/5/18,174960,12.059,37.61
10/15/18,175170,12.86,39.34
10/26/18,175398,13.284,41.17
11/10/18,175594,13.535,41.27
11/19/18,175821,13.908,43.1
12/13/18,176008,13.717,38.39
12/24/18,176223,12.449,33.48
1/12/19,176427,13.185,36.9
2019-01-27T00:21:09.000Z,176635,13.255,32.46
2019-02-15T00:38:17.000Z,176816,13.892,35.55
2019-02-25T03:29:51.000Z,176966,10.362,21.65
2019-03-20T21:50:05.000Z,177180,13.721,36.62
2019-03-24T23:13:22.000Z,177374,10.242,23.75
2019-04-17T03:06:44.000Z,177598,13.839,38.74
2019-05-12T00:02:14.000Z,177796,13.365,43.42
2019-06-04T03:34:57.000Z,178021,14.132,45.91
2019-06-12T04:02:09.000Z,178266,13.708,47.28
2019-07-05T18:21:55.000Z,178474,9.82,31.91
2019-07-18T04:26:02.000Z,178618,11.58,37.74
2019-08-09T21:19:06.000Z,178844,13.166,37.9
2019-09-07T15:40:53.000Z,179045,7.203,20.31
2019-09-15T18:30:56.000Z,179120,9.082,24.97
2019-10-07T23:20:14.000Z,179337,13.429,38.53
2019-11-07T23:20:14.000Z,179537,13.429,38.53
2019-12-23T11:24:06-07:00,179890,11.777,35.32
2020-02-13T11:24:03-07:00,180072,14.052,40.03

2021-03-19T10:16:51-06:00,183178,11.796,40.09
2021-04-23T12:22:23-06:00,183391,13.866,47.82
2021-05-16T13:17:29-06:00,183640,13.569,48.7
2021-05-26T10:45:44-06:00,183840,11.123,40.59
2021-06-11T15:22:39-06:00,184089,13.417,47.75
2021-06-14T19:22:13-06:00,184279,8.927,31.15
2021-06-24T19:00:09-06:00,184519,13.517,50.68
2021-07-09T09:45:15-06:00,184747,12.913,51.64
2021-07-30T07:12:38-06:00,184954,12.864,54.02
2021-08-26T19:30:18-06:00,185159,13.164,48.83
2021-09-13T11:59:22-06:00,185375,12.698,51.41
2021-10-07T19:34:02-06:00,185564,12.421,48.18
2021-11-02T15:30:24-06:00,185737,11.842,47.36
2021-11-22T09:20:20-07:00,185924,12.108,47.94
2021-12-06T09:04:44-07:00,186121,12.615,49.19
2021-12-22T11:23:43-07:00,186302,12.864,49.26
2022-01-26T15:23:50-07:00,186512,13.81,51.08
2022-03-19T18:23:57-06:00,186594,6.975,29.29
2022-04-14T12:07:05-06:00,186798,13.033,62.55
2022-04-25T09:33:08-06:00,186928,7.313,33.78
2022-04-26T20:22:44-06:00,187048,5.796,25.50
2022-05-07T14:17:34-06:00,187259,7.830,36.56
2022-05-16T13:40:37-06:00,187382,10.882,47.11
2022-06-14T13:30:43-06:00,187555,10.084,49.10
2022-08-08T22:29:22-06:00,187755,12.913,58.35
2022-10-25T13:13:51-06:00,187954,12.107,47.81
2022-12-01T09:35:54-07:00,188141,9.574,37.33
2022-12-12T08:39:51-07:00,188298,13.242,43.69
2023-01-09T20:25:56-07:00,188480,12.417,38.98
2023-02-02T15:18:18-07:00,188660,11.825,40.20
2023-03-24T09:53:11-06:00,188781,9.522,33.32
